dir	n_types	n_tokens	n_lemmas	TTR	LTR	suprisal_token_mean	sum_surprisal_morph_split_mean_lemma_all_features	sum_surprisal_morph_split_mean_lemma_core_features_only	sum_surprisal_morph_split_mean_subclass_all_features	sum_surprisal_morph_split_mean_subclass_core_features_only	sum_surprisal_morph_split_mean_upos_all_features	sum_surprisal_morph_split_mean_upos_core_features_only	surprisal_per_morph_featstring_mean_lemma_all_features	surprisal_per_morph_featstring_mean_lemma_core_features_only	surprisal_per_morph_featstring_mean_subclass_all_features	surprisal_per_morph_featstring_mean_subclass_core_features_only	surprisal_per_morph_featstring_mean_upos_all_features	surprisal_per_morph_featstring_mean_upos_core_features_only	feat_cats_lemma_all_features	feat_cats_lemma_core_features_only	feat_cats_subclass_all_features	feat_cats_subclass_core_features_only	feat_cats_upos_all_features	feat_cats_upos_core_features_only	n_feat_cats_subclass_all_features	n_feat_cats_subclass_core_features_only	n_feats_per_token_mean_subclass_all_features	n_feats_per_token_mean_subclass_core_features_only	mfh	n_total_rows	n_total_rows_filtered	n_row_mfh	glottocode	Word_Order	Flexivity	Gender_or_Noun_Class	Locus_of_Marking	Fusion	Informativity	percent_missing_lemma	n_feat_cats_core_features_only	n_feat_cats_all_features	n_feats_per_token_mean_core_features_only	n_feats_per_token_mean_all_features	mfh_rank	sum_surprisal_morph_split_mean_upos_all_features_rank	surprisal_per_morph_featstring_mean_lemma_core_features_only_rank	Fusion_rank	Informativity_rank
UD_Afrikaans-AfriBooms	5886	44323		0.132797870180268	0.12363784039889	9.16283835361633	0.32540139768077597	0.266949057623869	1.01907561745205	0.731546938560821	1.55352602583794	1.26342888036897	0.219581924581963	0.177459110027763	0.844619077184337	0.566876608614689	1.05215454719426	0.771950832868118	PronType;Number;AdjType;Case;Degree;AdpType;Definite;unassigned;Tense;VerbForm;VerbType;Subcat;Person;Poss;Reflex;PartType	PronType;Number;Case;Degree;unassigned;Definite;Tense;VerbForm;Person;Poss;Reflex	PronType;Number;AdjType;Case;Degree;AdpType;Definite;unassigned;Tense;VerbForm;VerbType;Subcat;Person;Poss;PartType;Reflex	PronType;Number;Case;Degree;unassigned;Definite;Tense;VerbForm;Person;Poss;Reflex	PronType;Definite;Number;Degree;AdjType;Case;AdpType;unassigned;Tense;VerbForm;VerbType;Subcat;Person;Poss;Reflex;PartType	PronType;Definite;Number;Degree;Case;unassigned;Tense;VerbForm;Person;Poss;Reflex	15	10	1.64982063488482	1.23310696478126	4.4113529213642915	44324	44321	40621	afri1274							0	10	15	1.23310696478126	1.64982063488482	102	13	11		
UD_Akkadian-RIAO	3198	20514		0.155893536121673	0.107390075070683	9.42473537629428	1.13912877132982	0.880481798591262	1.64031410132311	1.5052776507977	3.81570499232738	2.91455627226273	0.538362640556495	0.475446332844747	1.39483812005366	1.32695872293101	2.64159237008842	2.2383487981034	unassigned;Case;Gender;NounBase;Number;Mood;Person;Tense;VerbForm;VerbStem;Subordinative;Ventive	unassigned;Case;Gender;Number;Mood;Person;Tense;VerbForm	unassigned;Case;Gender;NounBase;Number;Mood;Person;Tense;VerbForm;VerbStem;Ventive;Subordinative	unassigned;Case;Gender;Number;Mood;Person;Tense;VerbForm	unassigned;Case;Gender;NounBase;Number;Person;VerbForm;Mood;Tense;VerbStem;Ventive;Subordinative	unassigned;Case;Gender;Number;Person;VerbForm;Mood;Tense	11	7	2.85244223457151	2.31602807838549	3.941708597953514	25726	19383	14348	akka1240	0.6842105263157895	0.2962962962962963	0.6470588235294118	0.48484848484848486	0.5181818181818182	0.3061224489795918	5	7	11	2.31602807838549	2.85244223457151	54	76	22	107	47
UD_Ancient_Greek-Perseus	41285	177994		0.231946020652382	0.079772351877029593	12.2527904298896	3.05228228111706	3.05228228111706	3.12537714297287	3.12537714297287	4.62446314874268	4.62446314874268	1.95122161245117	1.95122161245117	3.02037524657682	3.02037524657682	3.52641237818076	3.52641237818076	unassigned;Case;Gender;Number;Degree;Tense;VerbForm;Voice;Mood;Person;Aspect	unassigned;Case;Gender;Number;Degree;Tense;VerbForm;Voice;Mood;Person;Aspect	unassigned;Case;Gender;Number;Tense;VerbForm;Voice;Degree;Aspect;Mood;Person	unassigned;Case;Gender;Number;Tense;VerbForm;Voice;Degree;Aspect;Mood;Person	Degree;Case;Gender;Number;Person;Tense;VerbForm;Voice;Aspect;Mood;unassigned	Degree;Case;Gender;Number;Person;Tense;VerbForm;Voice;Aspect;Mood;unassigned	10	10	2.7145016124139	2.7145016124139	4.137708832752321	177994	177982	124882	anci1242	0.47619047619047616	0.4333333333333333	0.6470588235294118	0.26470588235294124	0.4836065573770491	0.38888888888888895	0	10	10	2.7145016124139	2.7145016124139	70	97	142	92.5	86
UD_Ancient_Greek-PROIEL	32601	214005		0.15233756220649	0.0450737132309993	11.0476971428021	3.57869367587465	3.57869367587465	3.25399713522089	3.25399713522089	5.51780374386963	5.51780374386963	2.3342937619893	2.3342937619893	3.09783813467657	3.09783813467657	3.98758709871449	3.98758709871449	Case;Gender;Number;Aspect;Mood;Person;Tense;VerbForm;Voice;unassigned;Definite;PronType;Degree;Reflex;Poss;Polarity	Case;Gender;Number;Aspect;Mood;Person;Tense;VerbForm;Voice;unassigned;Definite;PronType;Degree;Reflex;Poss;Polarity	Case;Gender;Number;Aspect;Mood;Person;Tense;VerbForm;Voice;unassigned;Definite;PronType;Degree;Reflex;Poss;Polarity	Case;Gender;Number;Aspect;Mood;Person;Tense;VerbForm;Voice;unassigned;Definite;PronType;Degree;Reflex;Poss;Polarity	Case;Gender;Number;PronType;Person;Reflex;Definite;Poss;Aspect;Mood;Tense;VerbForm;Voice;Degree;Polarity;unassigned	Case;Gender;Number;PronType;Person;Reflex;Definite;Poss;Aspect;Mood;Tense;VerbForm;Voice;Degree;Polarity;unassigned	15	15	3.32245041003715	3.32245041003715	4.547897323835305	214005	214005	160389	anci1242	0.47619047619047616	0.4333333333333333	0.6470588235294118	0.26470588235294124	0.4836065573770491	0.38888888888888895	0	15	15	3.32245041003715	3.32245041003715	117	122	148	92.5	86
UD_Ancient_Greek-PTNK	5261	34626		0.151937850170392	0.065182233004101	9.26600818216038	2.92427082681127	2.92427082681127	3.38007832154265	3.38007832154265	5.03703211566466	5.03703211566466	1.88384855532772	1.88384855532772	2.81244941401894	2.81244941401894	3.55958652747805	3.55958652747805	Case;Gender;Number;PronType;unassigned;Aspect;Mood;Person;Tense;VerbForm;Voice;Definite;Degree;Reflex;Polarity;Poss	Case;Gender;Number;PronType;unassigned;Aspect;Mood;Person;Tense;VerbForm;Voice;Definite;Degree;Reflex;Polarity;Poss	Case;Gender;Number;PronType;unassigned;Aspect;Mood;Person;Tense;VerbForm;Voice;Definite;Degree;Reflex;Polarity;Poss	Case;Gender;Number;PronType;unassigned;Aspect;Mood;Person;Tense;VerbForm;Voice;Definite;Degree;Reflex;Polarity;Poss	Case;Gender;Number;PronType;Person;Reflex;Poss;Polarity;Aspect;Mood;Tense;VerbForm;Voice;unassigned;Definite;Degree	Case;Gender;Number;PronType;Person;Reflex;Poss;Polarity;Aspect;Mood;Tense;VerbForm;Voice;unassigned;Definite;Degree	15	15	3.20288222722809	3.20288222722809	4.542397839301398	34646	34636	25888	anci1242	0.47619047619047616	0.4333333333333333	0.6470588235294118	0.26470588235294124	0.4836065573770491	0.38888888888888895	0	15	15	3.20288222722809	3.20288222722809	115	108	138	92.5	86
UD_Ancient_Hebrew-PTNK	11376	21908		0.519262369910535	0.19234982654738	12.3804765235449	1.15780532532792	1.08553814260416	1.77790210562694	1.51723738808735	3.18220548964421	2.83617341649832	0.570284847544909	0.542111924483897	1.71642864367133	1.47520185326344	2.40294412452316	2.14373320824683	Number;PronType;Gender;HebBinyan;Mood;Person;Tense;VerbForm;Aspect;unassigned;Voice;NumType;Polarity	Number;PronType;Gender;Mood;Person;Tense;VerbForm;Aspect;unassigned;Voice;NumType;Polarity	Number;PronType;Gender;HebBinyan;Mood;Person;Tense;VerbForm;unassigned;Aspect;NumType;Polarity;Voice	Number;PronType;Gender;Mood;Person;Tense;VerbForm;unassigned;Aspect;NumType;Polarity;Voice	Number;PronType;Gender;Person;HebBinyan;Mood;Tense;VerbForm;Aspect;Voice;unassigned;Polarity;NumType	Number;PronType;Gender;Person;Mood;Tense;VerbForm;Aspect;Voice;unassigned;Polarity;NumType	12	11	3.17372649260544	2.92993427058609	3.6911509089874257	44969	33574	22094	anci1244	0.7142857142857143	0.31999999999999995	0.5625	0.5757575757575758	0.4	0.31481481481481477	0	11	12	2.92993427058609	3.17372649260544	26	55	24	33.5	53
UD_Arabic-NYUAD		553272							2.77662343015048	2.77779397405677	3.68764147870886	3.63440313373636			2.60269639933135	2.60414581862196	3.03037895280273	3.00026701049996	AdpType;Case;Definite;Gender;Number;Aspect;Mood;Person;Voice;NumForm;PronType;Polarity;unassigned	Case;Definite;Gender;Number;Aspect;Mood;Person;Voice;PronType;Polarity;unassigned	AdpType;NumForm;Case;Definite;Gender;Number;Aspect;Mood;Person;Voice;PronType;unassigned;Polarity	unassigned;Case;Definite;Gender;Number;Aspect;Mood;Person;Voice;PronType;Polarity	AdpType;Case;Definite;Gender;Number;Aspect;Mood;Person;Voice;NumForm;PronType;Polarity;unassigned	Case;Definite;Gender;Number;Aspect;Mood;Person;Voice;PronType;Polarity;unassigned	12	10	3.74523923133649	3.55276608973525	3.409852413465288	765267	119802	69253	stan1318	0.6842105263157895	0.3928571428571429	0.5882352941176471	0.5	0.5192307692307693	0.37254901960784315	80	10	12	3.55276608973525	3.74523923133649	16	74		109	73
UD_Arabic-PADT	31816	202915		0.156794716999729	0.0878348076780918	12.2227145881839	1.82833506902187	1.82833506902187	2.55424981981299	2.55352122032198	3.22524824767812	3.17687901487932	1.4924424374464	1.4924424374464	2.49526596041798	2.49503816524862	2.77149413473893	2.76885137562854	Aspect;Gender;Number;Person;Voice;Mood;VerbForm;AdpType;Case;Definite;unassigned;PronType;NumForm;Polarity;NumValue;ConjType	Aspect;Gender;Number;Person;Voice;Mood;VerbForm;Case;Definite;unassigned;PronType;Polarity	Aspect;Gender;Number;Person;Voice;AdpType;Case;Definite;unassigned;Mood;VerbForm;PronType;NumForm;NumValue;Polarity;ConjType	Aspect;Gender;Number;Person;Voice;Case;Definite;unassigned;Mood;VerbForm;PronType;Polarity	Aspect;Gender;Number;Person;Voice;Mood;VerbForm;AdpType;Case;Definite;Polarity;unassigned;PronType;NumForm;NumValue;ConjType	Aspect;Gender;Number;Person;Voice;Mood;VerbForm;Case;Definite;Polarity;unassigned;PronType	15	11	3.22374393218835	2.97350614789444	3.856032778782451	281125	237197	205172	stan1318	0.6842105263157895	0.3928571428571429	0.5882352941176471	0.5	0.5192307692307693	0.37254901960784315	0	11	15	2.97350614789444	3.22374393218835	42	58	112	109	73
UD_Arabic-PUD	6790	18520		0.36663066954643603	0.277537796976242	10.5917612461518	1.22557602097273	1.22557602097273	2.09254911990687	2.09254911990687	3.37891582580051	3.37891582580051	0.862011307394009	0.862011307394009	2.02637668108948	2.02637668108948	2.72461578198698	2.72461578198698	Aspect;Gender;Number;Person;Tense;Voice;Mood;Case;Definite;unassigned;Polarity;VerbForm;NumType	Aspect;Gender;Number;Person;Tense;Voice;Mood;Case;Definite;unassigned;Polarity;VerbForm;NumType	Aspect;Gender;Number;Person;Tense;Voice;Case;Definite;unassigned;Polarity;Mood;VerbForm;NumType	Aspect;Gender;Number;Person;Tense;Voice;Case;Definite;unassigned;Polarity;Mood;VerbForm;NumType	Aspect;Gender;Number;Person;Tense;Voice;Mood;Case;Definite;VerbForm;unassigned;NumType;Polarity	Aspect;Gender;Number;Person;Tense;Voice;Mood;Case;Definite;VerbForm;unassigned;NumType;Polarity	12	12	2.80215982721382	2.80215982721382	3.654014110170772	18520	18237	12903	stan1318	0.6842105263157895	0.3928571428571429	0.5882352941176471	0.5	0.5192307692307693	0.37254901960784315	0	12	12	2.80215982721382	2.80215982721382	22	65	54	109	73
UD_Armenian-ArmTDP	13277	42218		0.314486711829078	0.174901700696385	11.67592002498	2.39289724272588	2.2677315385204	2.88674328888841	2.60529088299252	5.73611200441264	5.08184145527421	1.2825995535911	1.25830920511703	2.45016463412054	2.37639028480386	3.54991262873437	3.28602869391475	Animacy;Case;Definite;NameType;Number;unassigned;AdpType;Aspect;Subcat;VerbForm;Voice;Polarity;Mood;Person;Tense;Style;Poss;PronType;Connegative;Reflex;Number[psor];Person[psor];Deixis;ConjType;Degree;NumForm;NumType;Hyph;Polite;Echo	Animacy;Case;Definite;Number;unassigned;Aspect;VerbForm;Voice;Polarity;Mood;Person;Tense;Poss;PronType;Reflex;Deixis;Degree;NumType;Polite	Animacy;Case;Definite;NameType;Number;unassigned;AdpType;Aspect;Subcat;VerbForm;Voice;Mood;Person;Polarity;Tense;Poss;PronType;Deixis;ConjType;Style;Reflex;Degree;NumForm;NumType;Number[psor];Person[psor];Polite;Connegative;Echo;Hyph	Animacy;Case;Definite;Number;unassigned;Aspect;VerbForm;Voice;Mood;Person;Polarity;Tense;Poss;PronType;Deixis;Reflex;Degree;NumType;Polite	Animacy;Case;Definite;NameType;Number;Style;NumForm;Number[psor];Poss;Degree;NumType;Hyph;VerbForm;Echo;Person[psor];AdpType;Aspect;Subcat;Voice;Polarity;Mood;Person;Tense;Connegative;PronType;Deixis;Reflex;Polite;ConjType;unassigned	Animacy;Case;Definite;Number;Poss;Degree;NumType;VerbForm;Aspect;Voice;Polarity;Mood;Person;Tense;PronType;Deixis;Reflex;Polite;unassigned	29	18	3.52172059311194	3.21706381164432	5.057213013713428	42582	41772	35218	nucl1235	0.23809523809523808	0.17241379310344826	0.23529411764705876	0.3823529411764706	0.4152542372881355	0.3137254901960784	0	18	29	3.21706381164432	3.52172059311194	146	127	88	37.5	51.5
